"sample_size","power","group"
500,0.644417425729072,"All Progressive"
510,0.653032646288738,"All Progressive"
520,0.661486490254915,"All Progressive"
530,0.669779905150907,"All Progressive"
540,0.677913944189005,"All Progressive"
550,0.685889759365035,"All Progressive"
560,0.693708594808647,"All Progressive"
570,0.701371780411936,"All Progressive"
580,0.708880725699764,"All Progressive"
590,0.716236913961766,"All Progressive"
600,0.723441896615831,"All Progressive"
610,0.730497287819856,"All Progressive"
620,0.737404759304817,"All Progressive"
630,0.744166035432194,"All Progressive"
640,0.750782888473444,"All Progressive"
650,0.75725713409389,"All Progressive"
660,0.763590627045113,"All Progressive"
670,0.769785257052285,"All Progressive"
680,0.775842944898632,"All Progressive"
690,0.781765638684638,"All Progressive"
700,0.787555310280482,"All Progressive"
710,0.79321395194543,"All Progressive"
720,0.798743573113537,"All Progressive"
730,0.804146197345031,"All Progressive"
740,0.809423859432823,"All Progressive"
750,0.814578602667587,"All Progressive"
760,0.819612476228006,"All Progressive"
770,0.824527532745074,"All Progressive"
780,0.829325825967371,"All Progressive"
790,0.834009408581398,"All Progressive"
800,0.838580330146472,"All Progressive"
810,0.84304063515486,"All Progressive"
820,0.847392361202453,"All Progressive"
830,0.851637537281394,"All Progressive"
840,0.855778182168111,"All Progressive"
850,0.859816302925728,"All Progressive"
860,0.863753893494394,"All Progressive"
870,0.867592933388191,"All Progressive"
880,0.871335386473683,"All Progressive"
890,0.87498319983478,"All Progressive"
900,0.878538302734879,"All Progressive"
910,0.882002605634557,"All Progressive"
920,0.885377999319225,"All Progressive"
930,0.888666354056768,"All Progressive"
940,0.891869518865562,"All Progressive"
950,0.894989320824087,"All Progressive"
960,0.898027564453398,"All Progressive"
970,0.900986031155344,"All Progressive"
980,0.903866478711625,"All Progressive"
990,0.906670640834364,"All Progressive"
1000,0.909400226779722,"All Progressive"
1010,0.91205692098707,"All Progressive"
1020,0.914642382789587,"All Progressive"
1030,0.917158246161029,"All Progressive"
1040,0.919606119499152,"All Progressive"
1050,0.921987585450704,"All Progressive"
1060,0.924304200787003,"All Progressive"
1070,0.926557496296612,"All Progressive"
1080,0.928748976719945,"All Progressive"
1090,0.930880120720919,"All Progressive"
1100,0.932952380883278,"All Progressive"
1110,0.934967183731057,"All Progressive"
1120,0.936925929790186,"All Progressive"
1130,0.938829993650701,"All Progressive"
1140,0.940680724077196,"All Progressive"
1150,0.942479444130281,"All Progressive"
1160,0.944227451304687,"All Progressive"
1170,0.945926017694948,"All Progressive"
1180,0.947576390170242,"All Progressive"
1190,0.949179790573507,"All Progressive"
1200,0.950737415930647,"All Progressive"
1210,0.95225043867989,"All Progressive"
1220,0.953720006901462,"All Progressive"
1230,0.955147244577432,"All Progressive"
1240,0.956533251845366,"All Progressive"
1250,0.957879105276829,"All Progressive"
1260,0.95918585815323,"All Progressive"
1270,0.960454540752551,"All Progressive"
1280,0.961686160658667,"All Progressive"
1290,0.962881703042486,"All Progressive"
1300,0.964042130993854,"All Progressive"
1310,0.96516838581794,"All Progressive"
1320,0.96626138736898,"All Progressive"
1330,0.967322034361608,"All Progressive"
1340,0.968351204707152,"All Progressive"
1350,0.969349755829357,"All Progressive"
1360,0.970318525018287,"All Progressive"
1370,0.971258329730129,"All Progressive"
1380,0.972169967959414,"All Progressive"
1390,0.97305421854733,"All Progressive"
1400,0.973911841528841,"All Progressive"
1410,0.974743578461708,"All Progressive"
1420,0.9755501527692,"All Progressive"
1430,0.976332270074243,"All Progressive"
1440,0.977090618533991,"All Progressive"
1450,0.977825869156964,"All Progressive"
1460,0.978538676158629,"All Progressive"
1470,0.979229677267183,"All Progressive"
1480,0.979899494070525,"All Progressive"
1490,0.98054873232257,"All Progressive"
1500,0.981177982280128,"All Progressive"
